url | title | question
https://abortion.procon.org | Abortion | Should abortion be legal?  
https://aclu.procon.org | ACLU | Is the ACLU good for America?
https://alternativeenergy.procon.org | Alternative Energy | Can alternative energy effectively replace fossil fuels?
https://procon.org/headlines/american-socialism-top-2-pros-and-cons/ | American Socialism | Should the US become socialist?
https://procon.org/headlines/top-3-pros-and-cons-of-animal-dissection/ | Animal Dissection | Should K-12 students dissect animals in science classrooms?
https://animal-testing.procon.org | Animal Testing | Should animals be used for scientific or commercial testing?
https://procon.org/headlines/artificial-intelligence-ai-top-3-pros-and-cons/ | Artificial Intelligence | Is artificial intelligence good for society?
https://procon.org/headlines/banned-books-top-3-pros-and-cons/ | Banned Books | Should parents or other adults be able to ban books from schools and libraries?
https://bigthreeauto.procon.org | Big Three Bailout | Should the big three car manufacturers be bailed out by the US government?
https://procon.org/headlines/binge-watching-top-3-pros-and-cons/ | Binge-Watching | Is binge-watching good for you?
https://borngay.procon.org | Born Gay | Is sexual orientation determined at birth?
https://procon.org/headlines/should-bottled-water-be-banned-top-4-pros-and-cons/ | Bottled Water Ban | Should bottled water be banned?
https://procon.org/headlines/is-cancel-culture-or-callout-culture-good-for-society/ | Cancel Culture | Is cancel culture (or callout culture) good for society?
https://procon.org/headlines/marijuana-for-pets-top-3-pros-and-cons/ | CBD for Pets | Is CBD good for pets?
https://cellphones.procon.org | Cell Phone Radiation | Is cell phone radiation safe?
https://procon.org/headlines/cheerleading-top-3-pros-and-cons/ | Cheerleading | Is cheerleading a sport?
https://churchesandtaxes.procon.org | Churches & Taxes | Should churches (including mosques, synagogues, etc.) remain tax-exempt?
https://climatechange.procon.org | Climate Change | Is human activity primarily responsible for global climate change?
https://college-education.procon.org | College Education | Is a college education worth it?
https://collegefootball.procon.org | College Football Playoffs | Should college football replace the Bowl Championship Series (BCS) with a playoff system?
https://concealedguns.procon.org | Concealed Handguns | Should adults have the right to carry a concealed handgun?
https://insidertrading.procon.org | Congressional Insider Trading | Should insider trading by Congress be allowed?
https://procon.org/headlines/corporal-punishment-pros-cons-procon-org/ | Corporal Punishment | Should corporal punishment be used in K-12 schools?
